,sketchID,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
0,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0.0,2.0,0.0,8.0,10.0,0.2,0.0,0.8,0.0
1,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,5.0,4.0,4.0,2.0,15.0,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.3333333333333333
2,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0.0,3.0,0.0,9.0,12.0,0.25,0.0,0.75,0.0
3,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,4.0,4.0,5.0,0.0,13.0,0.3076923076923077,0.38461538461538464,0.0,0.3076923076923077
4,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,0.0,10.0,10.0,18.0,38.0,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.0
5,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,2.0,2.0,2.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
6,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,8.0,12.0,10.0,0.0,30.0,0.4,0.3333333333333333,0.0,0.26666666666666666
7,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,4.0,2.0,2.0,0.0,8.0,0.25,0.25,0.0,0.5
8,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,2.0,2.0,2.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
9,gears_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
10,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,1.0,4.0,4.0,0.0,9.0,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111
11,gears_1.1568-93d31830-7fa2-4f39-8dac-4da643666140,5.0,7.0,6.0,0.0,18.0,0.3888888888888889,0.3333333333333333,0.0,0.2777777777777778
12,gears_1.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,2.0,24.0,23.0,0.0,49.0,0.4897959183673469,0.46938775510204084,0.0,0.04081632653061224
13,gears_1.1887-0675d919-20c4-4940-9610-d294d43c9bc1,1.0,2.0,3.0,4.0,10.0,0.2,0.3,0.4,0.1
14,gears_1.1991-e997567a-fe35-409f-a17b-8a14b7585294,4.0,2.0,2.0,0.0,8.0,0.25,0.25,0.0,0.5
