,sketchID,roi_labelName,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
0,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,symbols_nan,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,0.0
3,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,background_5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
4,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gear_1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
5,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gear_2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
6,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
7,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gear_4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
8,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,symbols_nan,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
9,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
10,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,symbols_nan,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,0.0
12,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,background_5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
13,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gear_1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
14,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gear_2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
15,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
16,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gear_4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
17,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gear_1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0
18,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gear_2.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0
19,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gear_3.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
20,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gear_4.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
21,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,symbols_nan,0.0,0.0,0.0,18.0,18.0,0.0,0.0,1.0,0.0
22,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,background_5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
23,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
24,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
25,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
26,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
27,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,background_5.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
28,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,gear_1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0
29,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,gear_2.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0
30,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,gear_3.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
