,sketchID,orig_gameID,stimuli,roiNum,condition,label,type,label_gt,type_gt,loc_err,size_err,norm_loc_err,norm_size_err,omission
0,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,1.0,explanatory,,,gear,functional,,,,,1
49,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,2.0,explanatory,,,gear,functional,,,,,1
98,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,3.0,explanatory,gear,causal,gear,causal,94.85383492510991,16.401219466856727,117.51194779990985,109.63545376079189,0
147,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,4.0,explanatory,gear,causal,gear,causal,60.71655457945551,36.796738985948195,68.22411668868246,52.1398264519563,0
196,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,5.0,explanatory,,,background,background,,,,,1
1,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,1.0,depictive,gear,functional,gear,functional,67.23466367878997,109.04127658827184,58.67240743524385,52.041876667147186,0
50,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,2.0,depictive,gear,functional,gear,functional,130.84055181785195,115.88356225108029,109.62181413837301,62.327635773945055,0
99,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,3.0,depictive,gear,causal,gear,causal,34.30014577228499,119.20570456148481,48.36974208947999,72.1100053228791,0
148,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,4.0,depictive,gear,causal,gear,causal,91.52185531336218,115.26057435220423,70.0092917496263,63.845634991834736,0
197,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,5.0,depictive,background,background,background,background,56.216100896451366,188.31091311976584,47.386169706280775,75.72577875451117,0
2,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,1.0,explanatory,,,gear,functional,,,,,1
51,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,2.0,explanatory,,,gear,functional,,,,,1
100,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,3.0,explanatory,gear,causal,gear,causal,105.32093808925175,25.495097567963924,128.63050911711707,79.06068489920284,0
149,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,4.0,explanatory,gear,causal,gear,causal,75.43374576408094,26.40075756488817,97.87276796464924,72.419913067943,0
