,sketchID,orig_gameID,stimuli,roiNum,condition,label,type,label_gt,type_gt,loc_err,size_err,norm_loc_err,norm_size_err,omission
0,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,1.0,explanatory,,,gear,functional,,,,,1
50,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,2.0,explanatory,,,gear,functional,,,,,1
100,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,3.0,explanatory,gear,causal,gear,causal,0.15137235337024033,0.01621334640202565,0.1845433572614687,1.218924248001645,0
150,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,4.0,explanatory,gear,causal,gear,causal,0.09689442459001532,0.30200697031606777,0.10646800662909012,0.5240831701191696,0
200,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,5.0,explanatory,,,background,background,,,,,1
1,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,1.0,depictive,gear,functional,gear,functional,0.10729633943794144,0.7222326771801724,0.09538649275523228,0.39348892622830883,0
51,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,2.0,depictive,gear,functional,gear,functional,0.2088017027520954,0.7514963339817448,0.17790222080104448,0.4573867660786808,0
101,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,3.0,depictive,gear,causal,gear,causal,0.054737837332485294,0.7890222984562607,0.07431776635180722,0.5393255369056587,0
151,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,4.0,depictive,gear,causal,gear,causal,0.14605501859289444,0.7656531666866964,0.11320529677344264,0.4882985224289978,0
201,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,5.0,depictive,background,background,background,background,0.08971238217952167,0.5395822102425876,0.0773048174516444,0.005332395526200986,0
2,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,1.0,explanatory,,,gear,functional,,,,,1
52,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,2.0,explanatory,,,gear,functional,,,,,1
102,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,3.0,explanatory,gear,causal,gear,causal,0.16807626460562894,0.18867924528301888,0.20230503340946943,0.7715367564522234,0
152,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,4.0,explanatory,gear,causal,gear,causal,0.12038083256050386,0.21147298001041542,0.15320043837077152,0.7217661341038644,0
202,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,5.0,explanatory,,,background,background,,,,,1
3,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gears_1,1.0,depictive,gear,functional,gear,functional,0.16466844888863746,0.28849410967669087,0.14294193395228963,0.5535887992655895,0
53,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gears_1,2.0,depictive,gear,functional,gear,functional,0.22172820830896606,0.003366751458925632,0.19063166795653658,1.1761706726075247,0
103,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gears_1,3.0,depictive,gear,causal,gear,causal,0.1414645691196291,0.23156089193825044,0.10448571239257418,0.6779037354980892,0
153,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gears_1,4.0,depictive,gear,causal,gear,causal,0.1999353662179285,0.1063574089652686,0.16289040095139043,0.9512883011374215,0
203,gears_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,gears_1,5.0,depictive,background,background,background,background,0.02953397866332667,0.5617048517520216,0.010450952282017213,0.04297287998403686,0
4,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gears_1,1.0,explanatory,gear,functional,gear,functional,0.0096082805253011,0.5984041552184877,0.04118161343221695,0.12310661827317819,0
54,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gears_1,2.0,explanatory,gear,functional,gear,functional,0.1287331555384833,0.6481744725422715,0.09645699484719907,0.2317812035179877,0
104,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gears_1,3.0,explanatory,gear,causal,gear,causal,0.031210978795477913,0.5108225108225108,0.06739841989388368,0.06812983332249753,0
154,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gears_1,4.0,explanatory,gear,causal,gear,causal,0.06031589704596147,0.3476745583463526,0.04511968085655895,0.4243669847463588,0
204,gears_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,gears_1,5.0,explanatory,,,background,background,,,,,1
5,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gears_1,1.0,explanatory,gear,functional,gear,functional,0.08837168856878395,0.9205088637133502,0.0730409510903709,0.8264293512458248,0
55,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gears_1,2.0,explanatory,gear,functional,gear,functional,0.17969601716519873,0.9028505162352237,0.14611333270424418,0.7878719601846054,0
105,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gears_1,3.0,explanatory,gear,causal,gear,causal,0.08387698520860785,0.9371069182389937,0.11199869129784433,0.8626715692672694,0
155,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gears_1,4.0,explanatory,gear,causal,gear,causal,0.19786752147228018,0.8485758923206346,0.18892660738669495,0.6693621221848909,0
205,gears_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,gears_1,5.0,explanatory,background,background,background,background,0.16678335106243716,0.9182008086253369,0.14197457943690114,0.8213896620716483,0
6,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,gears_1,1.0,depictive,gear,functional,gear,functional,0.06210496304711716,0.7493319281869848,0.05490775454330232,0.4526607383035958,0
56,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,gears_1,2.0,depictive,gear,functional,gear,functional,0.10403659598492639,0.686817297620829,0.06984163131825902,0.3161586640991594,0
106,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,gears_1,3.0,depictive,gear,causal,gear,causal,0.035862235482258406,0.7612513272890631,0.06953994411442184,0.4786870090496478,0
156,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,gears_1,4.0,depictive,gear,causal,gear,causal,0.13019620501589094,0.7866842927532749,0.11906620838434931,0.5342204499033186,0
206,gears_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,gears_1,5.0,depictive,background,background,background,background,0.029566297453222756,0.29026954177897574,0.012429389285612205,0.5497121041243686,0
7,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gears_1,1.0,depictive,gear,functional,gear,functional,0.02806380299708862,0.4593699424140916,0.06308535439067715,0.1804776509019745,0
57,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gears_1,2.0,depictive,gear,functional,gear,functional,0.059309985026490354,0.49678288193924885,0.022709099210717894,0.09878567254396914,0
107,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gears_1,3.0,depictive,gear,causal,gear,causal,0.20024719863024917,0.2890631381197419,0.2049445056261994,0.5523463131138783,0
157,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gears_1,4.0,depictive,gear,causal,gear,causal,0.08445944500503029,0.2874654488643192,0.06925656811523279,0.5558349028299857,0
207,gears_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,gears_1,5.0,depictive,background,background,background,background,0.05433506878145605,0.7015498652291106,0.05681917578632272,0.34832755030507495,0
8,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gears_1,1.0,depictive,gear,functional,gear,functional,0.16009471041911955,0.6937408257743988,0.1583525934877229,0.3312763404769307,0
58,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gears_1,2.0,depictive,gear,functional,gear,functional,0.13163815898102424,0.7609232380667365,0.10109881164314513,0.4779706189987729,0
108,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gears_1,3.0,depictive,gear,causal,gear,causal,0.1006302403391628,0.49101527403414197,0.13706772519407026,0.11137937157274043,0
158,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gears_1,4.0,depictive,gear,causal,gear,causal,0.05533937008977857,0.4989384288747346,0.08173216253365788,0.0940789882834352,0
208,gears_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,gears_1,5.0,depictive,background,background,background,background,0.06953396099222871,0.7125808625336927,0.033872428224111226,0.37241397613823357,0
9,gears_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,gears_1,1.0,explanatory,,,gear,functional,,,,,1
59,gears_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,gears_1,2.0,explanatory,,,gear,functional,,,,,1
109,gears_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,gears_1,3.0,explanatory,gear,causal,gear,causal,0.23134024943139067,0.46205995262599037,0.25703340084054216,0.17460395429319875,0
159,gears_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,gears_1,4.0,explanatory,gear,causal,gear,causal,0.3102325034284232,0.8722108720906943,0.31204420335689276,0.7209696216322228,0
209,gears_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,gears_1,5.0,explanatory,,,background,background,,,,,1
10,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,gears_1,1.0,depictive,gear,functional,gear,functional,0.10198458561044489,0.7856524521058377,0.12661263929426136,0.5319674030989456,0
60,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,gears_1,2.0,depictive,gear,functional,gear,functional,0.07458778209816426,0.7815352386652701,0.03944436398452531,0.5229773767724666,0
110,gears_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,gears_1,3.0,depictive,gear,causal,gear,causal,0.17798183257151043,0.8417054643469738,0.2142627055479857,0.6543603912207381,0
