,sketchID,orig_gameID,stimuli,strokeRoiNum,condition,strokeLabel,voted,groundtruth,loc_err,size_err,norm_loc_err,norm_size_err,omission
0,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,1.0,explanatory,,False,gear,,,,,1
50,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,2.0,explanatory,,False,gear,,,,,1
100,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,3.0,explanatory,gear,True,gear,94.85383492510991,16.401219466856727,115.51615070620811,110.13617467539177,0
150,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,4.0,explanatory,gear,True,gear,33.06433123473088,27.51363298439521,42.7504701214034,131.73184570579846,0
200,gears_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,gears_1,5.0,explanatory,,False,background,,,,,1
1,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,1.0,depictive,gear,True,gear,67.23466367878997,109.04127658827184,59.01012657115174,51.79161365399118,0
51,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,2.0,depictive,gear,True,gear,130.84055181785195,115.88356225108029,111.387336495838,62.179549535560405,0
101,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,3.0,depictive,gear,True,gear,34.30014577228499,119.20570456148481,46.81563891428118,71.91341827481679,0
151,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,4.0,depictive,gear,True,gear,91.52185531336218,115.26057435220423,71.82186103567653,63.64855485044187,0
201,gears_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,gears_1,5.0,depictive,background,True,background,56.216100896451366,188.31091311976584,47.664381210098036,74.86366818500399,0
2,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,1.0,explanatory,,False,gear,,,,,1
52,gears_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,gears_1,2.0,explanatory,,False,gear,,,,,1
